Symbol;H9_RPKM;FB_RPKM
LOC401588;4,17;3,61
SIPA1L1;11,82;6,02
SIPA1L3;0,63;0,69
SIPA1L2;8;9,05
PPFIA4;0,4;1,7
SLC35F5;10,43;15,54
SLC35F4;0,01;0,93
SLC35F1;3,74;20,06
SLC35F3;0,49;1,08
SLC35F2;10,63;0,31
SUPV3L1;21,49;9,1
TSPAN18;1,96;10,21
TSPAN19;0,3;0,72
TSPAN11;0,38;6,96
TSPAN12;7,29;3,41
TSPAN13;21,77;61,2
TSPAN14;4,01;7,7
TSPAN15;1,71;1,05
TSPAN17;4,98;5,52
EAF1;14,76;14,2
EAF2;4,23;1,28
FOXF1;0;0,07
TMUB1;0,33;0,68
TMUB2;1,52;4,14
KIAA1644;1,16;6,32
SYNCRIP;70,71;46,77
MMAA;1,2;2,9
MMAB;3;3,72
TYR;0,01;0,33
ALG8;39,39;16,96
PDXK;3,19;3,03
ALG2;15,65;6,5
ALG3;4,04;1,9
ALG1;5,44;2,35
ALG6;14,53;7,4
ALG5;19,05;14,22
WIF1;0,69;0,13
PDXP;3,79;8,08
RNGTT;16,33;11,97
KIAA1324L;10,75;16,4
MAGEL2;0,63;3,7
INSL3;0;0
HGS;2,1;2,97
KIAA0114;93,22;22,5
RDM1;2,19;1,29
MGC14436;0;0,12
CLUL1;0,44;1,75
INMT;0,32;0,06
LOC388588;0;0
FECH;6,6;2,48
ADAP1;0,05;0,55
ADAP2;0,17;0,1
KLHL10;0,04;0,09
KLHL11;2,58;5,42
KLHL12;24,28;18,29
KLHL13;5,71;10,4
KLHL14;0,21;2,04
KLHL15;7,63;12,99
KLHL17;0,04;0,17
KLHL18;3,93;3,84
SNORA81;20,19;8,69
C7orf61;0;0,03
PAQR9;1,36;0,55
IER2;8,08;3,24
LOC100130987;0;0,36
RTEL1-TNFRSF6B;0,37;0,74
SLN;0;0,04
SLK;17,92;19,12
SLA;0,23;1,27
PHYH;10,81;8,52
MEAF6;15,08;49,93
AZIN1;208,41;78,43
NOTCH1;0,74;2,74
NOTCH2;10,72;11,12
NOTCH3;2,15;1,74
ZNF658;1,4;2,08
ZNF655;13,99;17,51
ZNF654;2,12;6,56
TCTEX1D1;0,79;0,65
ZNF653;0,01;0,18
TCTEX1D4;0,08;0,11
N4BP2L1;0,44;0,41
RAPGEF5;4,25;5,27
RAPGEF6;5,03;9,47
N4BP2L2;13,42;19,05
RAPGEF1;8,36;6,9
RAPGEF2;15,39;24,85
RAPGEF3;0,09;0,03
ZNF384;8,37;10,58
ZNF383;2,83;4,02
POC1A;5,09;3,06
POC1B;10,13;4,7
ZNF389;0,64;1,82
SNRPD3;87,59;41,41
SNRPD2;78,83;53,85
SNRPD1;103,34;54,87
NMBR;0;0,09
IFT46;5,57;9,47
GLDN;0,11;0,32
GLDC;45,25;20,19
QPCT;4,37;0,67
PC;0,11;0,47
DHRS11;4,78;2,54
DHRS12;1,57;0,81
DHRS13;2,23;4,37
GPR89B;9,08;5,72
GPR89C;8,52;5,06
GPR89A;9,81;6,36
MAP1LC3B2;5,42;5,26
LGMN;20,49;11,82
CAPS2;0,52;1,34
EHMT1;6,86;7,75
ADIPOR2;22;18,64
ADIPOR1;28,58;16,3
NBPF24;0,86;2,99
MARK4;1,66;3,38
STOX1;1,65;2,9
MARK1;7,17;20
MARK2;3,71;3,21
MARK3;21,74;28,66
IGBP1;22,95;26,22
TPD52L2;24,58;14,67
TPD52L1;3,41;5,04
EFCAB11;11,16;6,52
EFCAB10;4,82;2,84
CAPSL;0;0,62
ACTR3C;1,02;1,9
ACTR3B;7,15;17,56
WDR13;0,07;1
WDR12;47,04;11,54
WDR11;24,55;18,43
WDR17;0,9;10,52
WDR16;0,16;0,54
WDR19;6,45;15,45
WDR18;0,88;0,94
USP9X;102,86;25,92
CGGBP1;28,85;50,65
ZFP41;0,59;1
ZFP42;66,39;0,12
MYADML2;0;0,12
CMPK1;27,28;41,03
FKBP9L;0,2;0,76
LDLRAD2;0,14;0,09
LDLRAD3;6,24;9,68
HPCA;0,02;0,48
APEH;8,63;6,52
DEFB131;0;0
LOC440104;1,71;3,35
NKX6-1;0;0,18
KCTD13;0,15;1,37
KCTD12;2,31;5,85
KCTD11;1,23;1,45
KCTD10;14,25;15,94
KCTD17;0,44;2,41
DPY19L2P1;0,21;1,79
KCTD15;2,79;8,1
KCTD14;11,72;0,3
KCTD18;2;3,72
MIR135B;0;0
KIAA1409;0,46;5,24
KIAA1407;0,29;5,83
